[INFO] ¡Se encontraron 1 videos para procesar en local!

=======================================================
[INFO] INICIANDO PROCESAMIENTO: paper
=======================================================

--- FASE 1: EXTRACCIÓN ---
[INFO] Se extrajeron 240 fotogramas.

--- FASE 2: PROCESAMIENTO MATEMÁTICO (DINÁMICO) ---
Inicializando red memristiva para resolución 1280x720...
[frame_0000.png] Procesado en: 8.6595s
[frame_0001.png] Procesado en: 4.4484s
[frame_0002.png] Procesado en: 5.8352s
[frame_0003.png] Procesado en: 6.2648s
[frame_0004.png] Procesado en: 9.6671s
[frame_0005.png] Procesado en: 9.1462s
[frame_0006.png] Procesado en: 7.0671s
[frame_0007.png] Procesado en: 6.3331s
[frame_0008.png] Procesado en: 4.9995s
[frame_0009.png] Procesado en: 5.1922s
[frame_0010.png] Procesado en: 5.1408s
[frame_0011.png] Procesado en: 7.5357s
[frame_0012.png] Procesado en: 6.5439s
[frame_0013.png] Procesado en: 7.3754s
[frame_0014.png] Procesado en: 4.9185s
[frame_0015.png] Procesado en: 4.6746s
[frame_0016.png] Procesado en: 4.7116s
[frame_0017.png] Procesado en: 4.8162s
[frame_0018.png] Procesado en: 6.9168s
[frame_0019.png] Procesado en: 4.8346s
[frame_0020.png] Procesado en: 7.4340s
[frame_0021.png] Procesado en: 5.5357s
[frame_0022.png] Procesado en: 7.1216s
[frame_0023.png] Procesado en: 8.4574s
[frame_0024.png] Procesado en: 5.9209s
[frame_0025.png] Procesado en: 5.0999s
[frame_0026.png] Procesado en: 4.8779s
[frame_0027.png] Procesado en: 5.2992s
[frame_0028.png] Procesado en: 4.7232s
[frame_0029.png] Procesado en: 4.6820s
[frame_0030.png] Procesado en: 4.7005s
[frame_0031.png] Procesado en: 4.8539s
[frame_0032.png] Procesado en: 7.3523s
[frame_0033.png] Procesado en: 7.0034s
[frame_0034.png] Procesado en: 5.5897s
[frame_0035.png] Procesado en: 6.9942s
[frame_0036.png] Procesado en: 5.6921s
[frame_0037.png] Procesado en: 5.3174s
[frame_0038.png] Procesado en: 5.3588s
[frame_0039.png] Procesado en: 5.2566s
[frame_0040.png] Procesado en: 5.2644s
[frame_0041.png] Procesado en: 5.6395s
[frame_0042.png] Procesado en: 5.7802s
[frame_0043.png] Procesado en: 7.8073s
[frame_0044.png] Procesado en: 7.6255s
[frame_0045.png] Procesado en: 5.3661s
[frame_0046.png] Procesado en: 7.3228s
[frame_0047.png] Procesado en: 7.3917s
[frame_0048.png] Procesado en: 5.2846s
[frame_0049.png] Procesado en: 5.8466s
[frame_0050.png] Procesado en: 5.7287s
[frame_0051.png] Procesado en: 4.7899s
[frame_0052.png] Procesado en: 5.0397s
[frame_0053.png] Procesado en: 5.1647s
[frame_0054.png] Procesado en: 5.1832s
[frame_0055.png] Procesado en: 5.6887s
[frame_0056.png] Procesado en: 5.0522s
[frame_0057.png] Procesado en: 5.2449s
[frame_0058.png] Procesado en: 8.2446s
[frame_0059.png] Procesado en: 9.0081s
[frame_0060.png] Procesado en: 7.3674s
[frame_0061.png] Procesado en: 7.3439s
[frame_0062.png] Procesado en: 8.9559s
[frame_0063.png] Procesado en: 7.4366s
[frame_0064.png] Procesado en: 7.0963s
