[INFO] ¡Se encontraron 1 videos para procesar en local!

=======================================================
[INFO] INICIANDO PROCESAMIENTO NATURAL/ESTÁTICO: paper
=======================================================

--- FASE 1: EXTRACCIÓN ---
[INFO] Se extrajeron 240 fotogramas.

--- FASE 2: PROCESAMIENTO MATEMÁTICO (FOTOGRAMA A FOTOGRAMA) ---
[frame_0000.png] Procesado en: 9.5698s
[frame_0001.png] Procesado en: 4.3393s
[frame_0002.png] Procesado en: 5.8704s
[frame_0003.png] Procesado en: 6.8226s
[frame_0004.png] Procesado en: 6.5141s
[frame_0005.png] Procesado en: 5.1175s
[frame_0006.png] Procesado en: 5.0737s
[frame_0007.png] Procesado en: 5.3204s
[frame_0008.png] Procesado en: 5.0076s
[frame_0009.png] Procesado en: 5.0280s
[frame_0010.png] Procesado en: 5.1340s
[frame_0011.png] Procesado en: 5.1189s
[frame_0012.png] Procesado en: 5.5271s
[frame_0013.png] Procesado en: 5.3531s
[frame_0014.png] Procesado en: 5.4159s
[frame_0015.png] Procesado en: 5.4327s
[frame_0016.png] Procesado en: 5.3599s
[frame_0017.png] Procesado en: 5.3769s
[frame_0018.png] Procesado en: 5.3676s
[frame_0019.png] Procesado en: 5.3573s
[frame_0020.png] Procesado en: 5.3585s
[frame_0021.png] Procesado en: 6.8369s
[frame_0022.png] Procesado en: 5.5853s
[frame_0023.png] Procesado en: 5.5308s
[frame_0024.png] Procesado en: 5.8257s
[frame_0025.png] Procesado en: 5.3966s
[frame_0026.png] Procesado en: 5.3516s
[frame_0027.png] Procesado en: 5.3141s
[frame_0028.png] Procesado en: 7.5363s
[frame_0029.png] Procesado en: 6.1499s
[frame_0030.png] Procesado en: 6.6712s
[frame_0031.png] Procesado en: 4.8097s
[frame_0032.png] Procesado en: 4.7756s
[frame_0033.png] Procesado en: 5.9542s
[frame_0034.png] Procesado en: 7.7919s
[frame_0035.png] Procesado en: 5.9112s
[frame_0036.png] Procesado en: 5.0440s
[frame_0037.png] Procesado en: 7.2223s
[frame_0038.png] Procesado en: 6.8189s
[frame_0039.png] Procesado en: 5.7946s
[frame_0040.png] Procesado en: 6.4182s
[frame_0041.png] Procesado en: 4.9019s
[frame_0042.png] Procesado en: 5.1308s
[frame_0043.png] Procesado en: 5.0062s
[frame_0044.png] Procesado en: 6.0209s
[frame_0045.png] Procesado en: 5.9833s
[frame_0046.png] Procesado en: 5.0780s
[frame_0047.png] Procesado en: 4.8987s
[frame_0048.png] Procesado en: 5.1249s
[frame_0049.png] Procesado en: 5.7855s
[frame_0050.png] Procesado en: 5.3850s
[frame_0051.png] Procesado en: 5.2012s
[frame_0052.png] Procesado en: 5.2261s
[frame_0053.png] Procesado en: 5.3365s
[frame_0054.png] Procesado en: 4.9763s
[frame_0055.png] Procesado en: 5.4173s
[frame_0056.png] Procesado en: 5.4558s
[frame_0057.png] Procesado en: 5.8712s
[frame_0058.png] Procesado en: 4.9190s
[frame_0059.png] Procesado en: 5.5776s
[frame_0060.png] Procesado en: 5.6404s
[frame_0061.png] Procesado en: 5.5608s
[frame_0062.png] Procesado en: 5.5173s
[frame_0063.png] Procesado en: 5.0140s
[frame_0064.png] Procesado en: 5.5653s
[frame_0065.png] Procesado en: 5.3873s
[frame_0066.png] Procesado en: 6.5977s
[frame_0067.png] Procesado en: 7.0957s
[frame_0068.png] Procesado en: 5.7339s
[frame_0069.png] Procesado en: 5.8998s
[frame_0070.png] Procesado en: 6.3174s
[frame_0071.png] Procesado en: 6.2403s
[frame_0072.png] Procesado en: 5.4491s
[frame_0073.png] Procesado en: 5.5343s
[frame_0074.png] Procesado en: 5.6268s
[frame_0075.png] Procesado en: 5.2982s
[frame_0076.png] Procesado en: 7.0236s
[frame_0077.png] Procesado en: 7.1298s
[frame_0078.png] Procesado en: 5.4556s
[frame_0079.png] Procesado en: 6.3495s
[frame_0080.png] Procesado en: 5.5336s
[frame_0081.png] Procesado en: 5.1216s
[frame_0082.png] Procesado en: 5.8329s
[frame_0083.png] Procesado en: 6.5057s
[frame_0084.png] Procesado en: 5.6739s
[frame_0085.png] Procesado en: 6.2519s
[frame_0086.png] Procesado en: 6.5033s
[frame_0087.png] Procesado en: 8.2858s
[frame_0088.png] Procesado en: 8.6089s
[frame_0089.png] Procesado en: 7.4409s
[frame_0090.png] Procesado en: 6.3574s
[frame_0091.png] Procesado en: 6.6318s
[frame_0092.png] Procesado en: 8.5249s
[frame_0093.png] Procesado en: 6.2083s
